Time,NEW,SAME,EXCLUDED
15_39 - 16_23,10,339,5
16_23 - 16_41,4,341,8
16_41 - 17_15,12,340,5
17_15 - 17_39,2,349,3
17_39 - 18_22,9,342,9
18_22 - 18_38,4,350,1
18_38 - 19_14,4,339,15
19_14 - 19_39,2,340,3
19_39 - 20_19,10,330,12
20_19 - 20_39,3,338,2
20_39 - 21_15,10,330,11
21_15 - 21_39,1,331,9
21_39 - 22_17,5,324,8
22_17 - 22_39,6,323,6
22_39 - 23_18,10,323,6
23_18 - 23_38,1,333,0
23_38 - 01_27,10,322,12
01_27 - 02_25,2,326,6
02_25 - 02_46,0,327,1
02_46 - 03_18,0,327,0
03_18 - 03_39,1,325,2
03_39 - 04_22,5,322,4
04_22 - 04_39,0,149,178
04_39 - 05_17,177,149,0
05_17 - 05_40,1,323,3
05_40 - 06_22,4,320,4
06_22 - 06_39,2,322,2
06_39 - 07_16,3,321,3
07_16 - 07_39,1,322,2
07_39 - 08_22,3,321,2
08_22 - 08_39,0,323,1
08_39 - 09_17,5,318,5
09_17 - 09_39,10,313,10
09_39 - 10_19,5,321,2
10_19 - 10_39,2,326,0
10_39 - 11_15,7,325,3
11_15 - 11_39,2,330,2
11_39 - 12_33,7,318,14
12_33 - 13_20,13,324,1
13_20 - 13_39,3,335,2
13_39 - 14_16,9,327,11
14_16 - 14_39,7,329,7
14_39 - 15_18,13,331,5
15_18 - 15_40,4,342,2
15_40 - 16_23,7,334,12
16_23 - 16_41,8,338,3
16_41 - 17_16,5,341,5
17_16 - 17_39,2,345,1
17_39 - 18_22,14,331,16
18_22 - 18_39,2,344,1
18_39 - 19_14,8,333,13
19_14 - 19_39,3,338,3
19_39 - 20_19,11,331,10
20_19 - 20_38,6,333,9
20_38 - 21_15,7,331,8
21_15 - 21_39,9,332,6
21_39 - 22_17,6,107,234
22_17 - 22_39,223,111,2
22_39 - 23_17,7,324,10
23_17 - 23_39,1,329,2
23_39 - 01_24,2,325,5
01_24 - 02_20,2,320,7
02_20 - 02_44,0,322,0
02_44 - 03_19,0,321,1
03_19 - 03_39,1,320,1
03_39 - 04_21,6,316,5
04_21 - 04_39,0,322,0
04_39 - 05_17,0,322,0
05_17 - 05_38,0,322,0
05_38 - 06_22,0,317,5
06_22 - 06_39,0,316,1
06_39 - 07_15,0,314,2
07_15 - 07_39,0,312,2
07_39 - 08_20,1,312,0
08_20 - 08_39,0,312,1
08_39 - 09_16,0,311,1
09_16 - 09_39,7,307,4
09_39 - 10_17,2,312,2
10_17 - 10_39,0,314,0
10_39 - 11_14,3,311,3
11_14 - 11_38,2,313,1
11_38 - 12_32,4,309,6
12_32 - 13_19,4,307,6
13_19 - 13_39,0,310,1
13_39 - 14_16,3,304,6
14_16 - 14_39,0,303,4
14_39 - 15_16,2,287,16
15_16 - 15_39,0,285,4
15_39 - 16_21,1,276,9
16_21 - 16_39,0,275,2
16_39 - 17_14,0,264,11
17_14 - 17_38,0,262,2
17_38 - 18_20,1,255,7
18_20 - 18_39,1,254,2
18_39 - 19_14,1,251,4
19_14 - 19_38,0,250,2
19_38 - 20_18,1,241,9
20_18 - 20_39,0,238,4
20_39 - 21_14,1,227,11
21_14 - 21_39,0,225,3
21_39 - 22_16,1,218,7
22_16 - 22_39,1,212,7
22_39 - 23_17,0,207,6
23_17 - 23_39,1,204,3
23_39 - 01_39,1,199,6
01_39 - 02_39,1,199,1
02_39 - 03_19,0,199,1
03_19 - 03_39,0,199,0
03_39 - 04_21,0,197,2
04_21 - 04_39,0,196,1
04_39 - 05_16,0,196,0
05_16 - 05_39,1,195,1
05_39 - 06_21,0,194,2
06_21 - 06_39,0,193,1
06_39 - 07_16,0,193,0
07_16 - 07_39,0,193,0
07_39 - 08_20,0,192,1
08_20 - 08_39,0,192,0
08_39 - 09_16,2,190,2
09_16 - 09_39,6,186,6
09_39 - 10_18,0,188,4
10_18 - 10_39,1,186,2
10_39 - 11_14,2,183,4
11_14 - 11_39,0,183,2
11_39 - 12_33,4,179,4
12_33 - 13_19,3,176,7
13_19 - 13_39,2,178,1
13_39 - 14_15,6,173,7
14_15 - 14_39,1,171,8
14_39 - 15_17,3,163,9
15_17 - 15_38,7,162,4
15_38 - 16_22,2,167,2
16_22 - 16_40,0,160,9
16_40 - 17_15,2,155,5
17_15 - 17_38,1,156,1
17_38 - 18_21,2,146,11
18_21 - 18_39,1,146,2
18_39 - 19_14,2,143,4
19_14 - 19_39,0,140,5
19_39 - 20_19,1,126,14
20_19 - 20_39,0,121,6
20_39 - 21_15,13,111,10
21_15 - 21_39,0,117,7
21_39 - 22_16,0,112,5
22_16 - 22_39,2,107,5
22_39 - 23_18,2,102,7
23_18 - 23_38,0,103,1
23_38 - 01_39,5,100,3
01_39 - 02_39,4,102,3
02_39 - 03_20,0,106,0
03_20 - 03_39,0,105,1
03_39 - 04_21,5,99,6
04_21 - 04_39,0,104,0
04_39 - 05_18,1,103,1
05_18 - 05_38,2,103,1
05_38 - 06_23,1,105,0
06_23 - 06_39,1,105,1
06_39 - 07_17,3,103,3
07_17 - 07_40,2,104,2
07_40 - 08_24,3,103,3
08_24 - 08_39,1,106,0
08_39 - 09_19,6,106,1
09_19 - 09_39,7,105,7
09_39 - 10_19,7,110,2
10_19 - 10_39,4,116,1
10_39 - 11_15,5,118,2
11_15 - 11_39,2,122,1
11_39 - 12_35,9,122,2
12_35 - 13_21,12,127,4
13_21 - 13_39,2,138,1
13_39 - 14_17,12,134,6
14_17 - 14_40,5,142,4
14_40 - 15_19,8,143,4
15_19 - 15_39,2,151,0
15_39 - 16_23,4,153,0
16_23 - 16_41,2,156,1
16_41 - 17_16,5,155,3
17_16 - 17_38,4,159,1
17_38 - 18_22,4,159,4
18_22 - 18_39,2,161,2
18_39 - 19_14,4,160,3
19_14 - 19_39,6,162,2
19_39 - 20_18,4,167,1
20_18 - 20_39,5,170,1
20_39 - 21_15,6,175,0
21_15 - 21_39,2,180,1
21_39 - 22_17,11,181,1
22_17 - 22_39,6,191,1
22_39 - 23_18,6,197,0
23_18 - 23_39,1,200,3
23_39 - 01_27,6,199,2
01_27 - 02_26,2,203,2
02_26 - 02_46,1,205,0
02_46 - 03_18,2,204,2
03_18 - 03_39,1,205,1
03_39 - 04_21,3,205,1
04_21 - 04_39,0,208,0
04_39 - 05_18,0,207,1
05_18 - 05_39,0,207,0
05_39 - 06_23,1,206,1
06_23 - 06_39,3,207,0
06_39 - 07_17,3,208,2
07_17 - 07_39,1,210,1
07_39 - 08_23,3,209,2
08_23 - 08_39,1,212,0
08_39 - 09_17,5,210,3
09_17 - 09_39,13,208,7
09_39 - 10_19,3,220,1
10_19 - 10_39,4,222,1
10_39 - 11_15,9,224,2
11_15 - 11_38,1,233,0
11_38 - 12_35,16,224,10
12_35 - 13_22,5,235,5
13_22 - 13_39,2,236,4
13_39 - 14_18,14,229,9
14_18 - 14_39,2,242,1
14_39 - 15_31,8,236,8
15_31 - 15_39,1,243,1
15_39 - 16_23,6,239,5
16_23 - 16_42,8,242,3
16_42 - 17_16,7,247,3
17_16 - 17_39,2,251,3
17_39 - 18_22,6,252,1
18_22 - 18_39,2,258,0
18_39 - 19_16,9,257,3
19_16 - 19_38,5,265,1
19_38 - 20_18,4,267,3
20_18 - 20_39,3,270,1
20_39 - 21_15,1,261,12
21_15 - 21_39,2,260,2
21_39 - 22_17,16,260,2
22_17 - 22_39,6,275,1
22_39 - 23_17,4,280,1
23_17 - 23_39,2,283,1
23_39 - 01_37,5,282,3
01_37 - 02_38,3,283,4
02_38 - 03_20,4,286,0
03_20 - 03_39,0,290,0
03_39 - 04_21,10,285,5
04_21 - 04_39,0,295,0
04_39 - 05_16,2,293,2
05_16 - 05_39,0,295,0
05_39 - 06_22,3,291,4
06_22 - 06_40,2,293,1
06_40 - 07_17,5,292,3
07_17 - 07_39,2,292,5
07_39 - 08_23,5,290,4
08_23 - 08_39,1,294,1
08_39 - 09_18,7,290,5
09_18 - 09_39,2,292,5
09_39 - 10_20,2,287,7
10_20 - 10_39,3,286,3
10_39 - 11_15,4,287,2
