Time,Count
14_39,309
15_19,305
15_39,304
16_23,306
16_42,307
17_16,306
17_39,306
18_22,311
18_39,310
19_13,311
19_39,307
20_19,311
20_39,311
21_14,306
21_39,306
22_17,292
22_39,297
23_18,298
23_39,301
01_27,306
02_25,307
02_47,307
03_19,308
03_39,308
04_21,313
04_39,313
05_17,313
05_39,314
06_23,315
06_41,313
07_17,317
07_39,320
08_22,318
08_39,317
09_17,318
09_39,315
10_19,317
10_39,316
11_15,314
11_39,314
12_36,315
13_24,326
13_39,327
14_33,50
14_39,50
15_32,347
15_39,347
16_23,353
16_40,355
17_16,350
17_38,348
18_22,352
18_39,353
19_14,352
19_39,349
20_18,350
20_39,345
21_15,344
21_39,345
22_17,337
22_39,343
23_18,338
23_39,337
01_27,337
02_24,337
02_47,336
03_18,336
03_39,336
04_21,337
04_39,9
05_17,335
05_39,335
06_22,337
06_39,337
07_18,334
07_39,335
08_22,334
08_39,335
09_17,334
09_40,341
10_19,347
10_39,346
11_15,346
11_39,345
12_33,353
13_22,351
13_39,353
14_16,354
14_39,354
15_18,360
15_39,363
16_23,379
16_41,378
17_17,376
17_39,374
18_21,374
18_39,372
19_14,367
19_39,367
20_23,359
20_38,359
21_15,351
21_39,207
22_17,344
22_39,342
23_18,343
23_39,342
01_28,339
02_23,339
02_45,338
03_18,342
03_39,6
04_20,337
04_39,337
05_16,337
05_40,337
06_21,335
06_39,335
07_15,331
07_38,327
08_21,326
08_39,326
09_16,325
09_39,325
10_18,324
10_39,324
11_14,323
11_39,321
12_32,318
13_19,310
13_39,309
14_15,298
14_39,291
15_17,284
15_39,282
16_23,275
16_40,273
17_16,266
17_39,263
18_21,255
18_39,250
19_13,247
19_39,245
20_18,239
20_39,236
21_16,226
21_39,221
22_16,208
22_39,201
23_18,195
23_39,193
01_44,189
02_45,187
03_19,187
03_39,187
04_20,186
04_39,186
05_16,186
05_39,186
06_21,185
06_38,184
07_15,183
07_39,183
08_20,180
08_39,180
09_17,180
09_39,175
10_17,168
10_39,167
11_14,166
11_38,166
12_31,164
13_19,160
13_39,158
14_15,153
14_39,148
15_18,140
15_39,139
16_22,122
16_39,121
17_14,117
17_39,115
18_20,109
18_38,104
19_14,100
19_39,99
20_17,94
20_38,89
21_15,84
21_39,78
22_16,75
22_39,73
23_18,67
23_39,66
01_38,66
02_40,66
03_19,66
03_39,66
04_21,64
04_39,64
05_18,64
05_39,64
06_24,64
06_40,64
07_17,65
07_39,65
08_23,65
08_39,66
09_18,68
09_39,72
10_20,69
10_39,68
11_15,69
11_39,70
12_35,74
13_21,77
13_39,77
14_16,77
14_39,76
15_18,79
15_38,77
16_23,77
16_41,77
17_17,77
17_39,77
18_22,79
18_39,83
19_15,84
19_39,84
20_18,91
20_39,92
21_15,92
21_39,92
22_17,92
22_38,92
23_17,93
23_39,93
01_39,98
02_40,99
03_18,99
03_39,99
04_21,105
04_39,105
05_17,106
05_38,106
06_23,108
06_39,109
07_16,112
07_39,112
08_22,111
08_39,111
09_19,111
09_39,114
10_19,116
10_39,119
11_15,120
11_39,121
12_37,132
13_21,142
13_39,143
14_16,147
14_39,150
15_18,160
15_39,163
16_21,162
16_39,162
17_15,164
17_39,171
18_21,175
18_39,179
19_14,178
19_39,179
20_19,183
20_39,186
21_15,190
21_38,195
22_17,204
22_39,208
23_17,215
23_39,215
01_49,213
02_56,215
03_21,215
03_39,215
04_48,218
05_17,218
05_39,219
06_24,219
06_39,220
07_17,221
07_39,222
08_22,223
08_39,223
09_18,223
09_38,227
10_19,228
10_39,228
11_15,231
11_41,236
12_36,247
13_21,252
13_39,254
14_16,257
14_39,262
15_18,262
15_39,261
16_23,265
16_41,269
17_17,280
17_39,282
18_22,285
18_39,281
19_15,281
19_39,283
20_18,280
20_39,283
21_15,286
21_39,291
22_16,299
22_39,304
23_17,308
23_39,308
02_08,313
03_22,313
03_44,313
04_22,311
04_39,310
05_17,310
05_39,310
07_15,309
07_17,309
07_39,309
08_22,309
08_39,310
09_18,311
09_39,316
10_22,318
10_39,318
11_15,321
11_39,322
12_37,332
13_23,330
13_38,328
14_17,329
14_39,329
15_18,329
15_39,330
16_25,331
16_43,333
17_15,334
17_39,329
18_24,333
18_39,335
19_14,338
19_39,340
20_18,340
20_39,345
21_15,346
21_39,345
22_17,339
22_39,343
23_18,339
23_39,340
01_50,347
02_51,346
03_19,347
03_39,347
04_21,351
04_39,162
05_16,350
05_39,350
06_22,350
06_40,349
07_16,350
07_39,348
08_21,347
08_39,349
09_17,352
09_39,359
10_19,364
10_39,362
11_15,359
11_39,362
12_37,361
13_24,355
13_39,353
14_44,360
15_18,368
15_39,373
16_22,378
16_41,379
17_16,369
17_39,368
18_21,366
18_39,367
19_14,364
19_39,365
20_18,373
20_39,373
21_16,368
21_39,7
22_16,361
22_39,363
23_19,361
23_39,358
01_48,162
02_48,352
03_18,355
03_39,355
04_21,358
04_39,358
05_16,358
05_39,358
06_22,358
06_39,356
07_15,355
07_39,355
08_21,354
08_39,353
09_16,351
09_38,348
10_39,345
11_15,343
11_39,342
12_33,339
13_20,338
13_39,338
14_14,333
14_39,328
15_17,325
15_39,321
16_22,314
16_40,308
17_15,307
17_39,303
18_20,296
18_39,294
19_15,283
19_39,280
20_19,270
20_39,258
21_15,243
21_39,239
22_16,235
22_39,228
23_17,222
23_39,221
02_05,211
03_14,209
03_40,208
04_20,210
04_38,211
05_17,212
05_39,212
06_22,212
06_39,212
07_16,211
07_39,210
08_20,210
08_39,209
09_18,210
09_39,206
10_18,201
10_39,201
11_14,200
11_39,199
12_33,195
13_19,193
13_39,194
14_15,188
14_39,183
15_17,174
15_39,168
16_22,158
16_40,151
17_15,150
17_39,149
18_21,149
18_39,145
19_14,144
19_39,140
20_38,123
21_15,113
21_39,107
22_16,108
22_39,104
23_18,101
23_39,102
01_51,102
02_53,104
03_21,103
03_39,103
04_21,105
04_40,105
05_17,105
05_39,106
06_24,106
06_40,108
07_17,108
07_39,108
08_22,110
08_39,110
09_18,112
09_39,117
10_20,118
10_39,120
11_16,123
11_39,122
12_39,125
13_21,123
13_39,122
14_16,128
14_39,129
15_18,135
15_39,137
16_24,142
16_41,145
17_16,148
17_39,148
18_21,156
18_39,155
19_14,158
19_39,159
20_18,163
20_39,170
21_15,172
21_39,175
22_16,178
22_39,183
23_18,191
23_39,191
01_51,198
02_57,199
03_24,199
03_39,200
04_20,201
04_39,201
05_17,202
06_22,202
06_40,205
07_39,207
08_22,208
08_39,208
09_18,211
09_39,215
10_19,218
10_39,219
11_15,230
11_39,234
12_37,241
13_21,241
13_39,242
14_17,245
14_39,247
15_18,250
15_39,253
16_23,257
16_42,258
17_16,257
17_39,266
18_22,275
18_39,275
19_14,278
19_39,279
20_18,280
20_39,279
21_17,279
21_39,284
22_17,285
22_39,289
23_17,297
23_39,298
01_53,303
02_56,304
03_22,302
03_39,303
04_21,303
04_40,304
05_17,304
05_40,304
06_23,303
06_39,302
07_17,305
07_39,305
08_23,307
08_39,308
09_17,311
09_39,316
10_19,314
10_39,317
11_15,319
11_38,321
12_36,330
13_24,333
13_38,335
14_17,336
14_41,337
15_19,341
15_38,341
16_24,340
17_16,338
17_39,340
18_23,332
18_39,333
19_15,332
19_39,336
20_19,345
20_39,343
21_16,337
21_39,335
22_17,334
22_39,333
23_38,326
01_51,324
02_56,328
03_22,328
03_39,328
04_22,327
04_39,326
05_17,326
05_39,326
06_23,328
06_40,329
07_16,329
07_39,329
08_22,330
08_39,330
09_18,328
09_39,337
10_19,339
10_39,339
11_16,340
11_39,339
12_35,346
13_26,349
13_39,348
14_16,349
